[2026-06-08 15:03:15,012] Application start.
[2026-06-08 15:04:17,589] Application start.
[2026-06-08 15:04:17,642] [CControlCore] ControlCore initialized.
[2026-06-08 15:04:17,657] [CMainWindow] MainWindow initialized.
[2026-06-08 15:04:29,581] [CMultiProcessBase] Process started: MPCamera
[2026-06-08 15:04:29,582] MPCamera process routine started.
[2026-06-08 15:04:29,588] [CMultiProcessBase] Process started: MPSTT
[2026-06-08 15:04:29,589] MPSpeechToText process routine started.
[2026-06-08 15:04:29,594] [CMultiProcessBase] Process started: MPTTS
[2026-06-08 15:04:29,595] MPTextToSpeech process routine started.
[2026-06-08 15:04:29,600] [CMultiProcessBase] Process started: MPLLM
[2026-06-08 15:04:29,600] MPLLM process routine started.
[2026-06-08 15:04:29,605] [CMultiProcessBase] Process started: MPEmergency
[2026-06-08 15:04:29,606] MPEmergency process routine started.
[2026-06-08 15:04:29,611] [CMultiProcessBase] Process started: MPRobotTask
[2026-06-08 15:04:29,612] MPRobotTask process routine started.
[2026-06-08 15:04:29,813] [CControlCore] EVENT | state=START | event=STARTUP_DONE
[2026-06-08 15:04:29,813] [CEmergencyDetector] Loading emergency VLM model...
[2026-06-08 15:04:29,813] [CControlCore] STATE CHANGE | START -> IDLE
[2026-06-08 15:04:29,814] [CControlCore] ControlCore started.
[2026-06-08 15:04:29,822] MPCamera process routine terminated.
[2026-06-08 15:04:29,822] [CControlCore] ERROR | source=MPCamera | error=MPCamera process exception
[2026-06-08 15:04:29,822] [CControlCore] ERROR | source=MPSTT | error=MPSpeechToText process exception
[2026-06-08 15:04:29,822] MPSpeechToText process routine terminated.
[2026-06-08 15:04:29,823] MPEmergency process routine terminated.
[2026-06-08 15:04:29,823] [CControlCore] ERROR | source=MPEmergency | error=MPEmergency process exception
[2026-06-08 15:04:29,823] [CControlCore] STATUS | source=MPCamera | status=CAMERA_PROCESS_TERMINATED
[2026-06-08 15:04:29,824] [CControlCore] STATUS | source=MPSTT | status=STT_PROCESS_TERMINATED
